,0,1,2,3,4,5,6,7,8,9
0,tensor(81.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(3.),tensor(1.),tensor(0.),tensor(0.),tensor(0.)
1,tensor(0.),tensor(122.),tensor(0.),tensor(2.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
2,tensor(1.),tensor(0.),tensor(101.),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(5.),tensor(6.),tensor(1.)
3,tensor(0.),tensor(0.),tensor(1.),tensor(87.),tensor(1.),tensor(8.),tensor(2.),tensor(3.),tensor(4.),tensor(1.)
4,tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(101.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(5.)
5,tensor(3.),tensor(0.),tensor(0.),tensor(7.),tensor(4.),tensor(57.),tensor(1.),tensor(8.),tensor(6.),tensor(1.)
6,tensor(3.),tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(2.),tensor(81.),tensor(0.),tensor(0.),tensor(0.)
7,tensor(0.),tensor(4.),tensor(3.),tensor(0.),tensor(3.),tensor(0.),tensor(0.),tensor(84.),tensor(2.),tensor(3.)
8,tensor(0.),tensor(0.),tensor(1.),tensor(2.),tensor(2.),tensor(6.),tensor(1.),tensor(3.),tensor(72.),tensor(2.)
9,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(4.),tensor(1.),tensor(0.),tensor(1.),tensor(2.),tensor(85.)
